,log_return,log_return,log_return,open_gap_up,open_gap_up,open_gap_up,open_gap_down,open_gap_down,open_gap_down,log_return,shift,shift,shift,shift,shift,gap,gap
,AZN.L,HSBA.L,ULVR.L,AZN.L,HSBA.L,ULVR.L,AZN.L,HSBA.L,ULVR.L,^VIX,shift 0,shift 1,shift 2,shift 3,shift 4,open_gap_up,open_gap_down
Date,,,,,,,,,,,,,,,,,
2001-05-22,0.0029154539601239137,0.013468202493156925,-0.013096527575020788,0,0,0,0,0,0,-0.008395585726702478,0.00587338692783613,0.004486976378618326,0.0017767253711508493,0.003494921950678404,0.0070095705229851115,0,0
2001-05-23,-0.01349389791477235,-0.0027908810714087928,0.006569652127596936,1,0,0,0,0,0,0.021978885602797933,-0.013323328437111525,0.00587338692783613,0.004486976378618326,0.0017767253711508493,0.003494921950678404,0,0
2001-05-24,-0.0032027979045237834,0.008326443553491658,0.010484700792631,0,0,0,0,0,0,-0.06036725017126607,0.003132065625923082,-0.013323328437111525,0.00587338692783613,0.004486976378618326,0.0017767253711508493,0,0
2001-05-25,-0.011176586931415218,-0.006160320502690384,-0.020465991568781386,0,0,0,0,0,0,0.0,-0.004421616816767416,0.003132065625923082,-0.013323328437111525,0.00587338692783613,0.004486976378618326,0,0
2001-05-29,-0.004903063087445228,-0.0005603967777721192,0.011342311938335096,0,0,0,0,0,1,-0.0009029552806785852,-0.004407113489318734,-0.004421616816767416,0.003132065625923082,-0.013323328437111525,0.00587338692783613,0,0
2001-05-30,-0.01219544126514477,-0.014882948438889022,0.018625315864053287,0,0,0,0,0,0,0.015943677483354183,-0.011491619518495795,-0.004407113489318734,-0.004421616816767416,0.003132065625923082,-0.013323328437111525,0,0
2001-05-31,-0.007490671729157738,-0.003978360466324562,0.0018656266767744364,0,0,0,0,0,0,-0.01403530520048987,-0.00012071094464904775,-0.011491619518495795,-0.004407113489318734,-0.004421616816767416,0.003132065625923082,0,0
2001-06-01,0.023053979562419284,-6.392474780875286e-05,0.009985506889903163,0,0,0,0,0,0,-0.0641331715849709,0.0023264440510598035,-0.00012071094464904775,-0.011491619518495795,-0.004407113489318734,-0.004421616816767416,0,0
2001-06-04,0.007956429183902174,0.010221522902992705,0.01989294898382815,0,0,0,0,0,0,-0.012087559429795643,0.00804041704039621,0.0023264440510598035,-0.00012071094464904775,-0.011491619518495795,-0.004407113489318734,0,0
2001-06-05,0.0194519124955827,0.009029423315232057,0.016319492009219002,0,0,0,1,0,0,-0.060444316821650315,0.01122340263071431,0.00804041704039621,0.0023264440510598035,-0.00012071094464904775,-0.011491619518495795,0,0
2001-06-06,0.01603636651120921,0.011173223650539826,0.016717239901049754,0,0,0,0,0,0,0.014822368230436827,-0.0035521011638168704,0.01122340263071431,0.00804041704039621,0.0023264440510598035,-0.00012071094464904775,0,0
2001-06-07,0.005381686972767582,0.013793401020380095,0.014906041131466747,0,0,0,0,0,0,-0.03398629435438152,0.007898875725722551,-0.0035521011638168704,0.01122340263071431,0.00804041704039621,0.0023264440510598035,0,0
2001-06-08,0.00855975084883412,0.010765947880687602,0.0026166929025206805,0,0,0,0,1,0,0.015174759074870108,0.00038663960807890297,0.007898875725722551,-0.0035521011638168704,0.01122340263071431,0.00804041704039621,0,0
2001-06-11,-0.01282527341543081,-0.0055960643753858435,-0.006993056981434959,0,0,0,0,0,0,0.0038722178395172455,-0.015257147039690059,0.00038663960807890297,0.007898875725722551,-0.0035521011638168704,0.01122340263071431,0,0
2001-06-12,-0.01550772159759015,-0.02065670782401769,-0.0007009150876468459,0,0,0,0,0,0,-0.02433898828339778,-0.009687589159156499,-0.015257147039690059,0.00038663960807890297,0.007898875725722551,-0.0035521011638168704,0,0
2001-06-13,0.009200754957847309,-0.010374781688180812,-0.010489542870228205,0,0,1,0,0,0,0.03125253503546845,0.0027873239498308407,-0.009687589159156499,-0.015257147039690059,0.00038663960807890297,0.007898875725722551,0,0
2001-06-14,0.007990910101030528,-0.00877976985937941,-0.02715551122891581,0,0,0,0,0,0,0.04376396396312386,-0.011682715473267142,0.0027873239498308407,-0.009687589159156499,-0.015257147039690059,0.00038663960807890297,0,0
2001-06-15,-0.011396134730869582,5.8917552730194966e-05,-0.0013710911847703837,0,0,0,0,0,0,-0.05002111762698811,-0.005141399500418652,-0.011682715473267142,0.0027873239498308407,-0.009687589159156499,-0.015257147039690059,0,0
2001-06-18,-0.0025821273850338963,-0.004717122341093411,-0.005305117160712624,0,0,0,0,0,0,-0.0038768151935912702,-0.009021861327233831,-0.005141399500418652,-0.011682715473267142,0.0027873239498308407,-0.009687589159156499,0,0
2001-06-19,-0.006051019759668912,0.009997177053402903,0.018205069410547545,0,1,0,0,0,0,-0.002682141359786358,0.0015503534971984185,-0.009021861327233831,-0.005141399500418652,-0.011682715473267142,0.0027873239498308407,0,0
